,BICCN2_gene_celltype_1_EX,BICCN2_gene_celltype_2_IN,BICCN2_gene_celltype_0_NN,GSE111586_gene_celltype_1_EX,GSE111586_gene_celltype_2_IN,GSE111586_gene_celltype_0_NN,GSE123576_gene_celltype_1_EX,GSE123576_gene_celltype_2_IN,GSE123576_gene_celltype_0_NN,GSE126074_gene_celltype_1_EX,GSE126074_gene_celltype_2_IN,GSE126074_gene_celltype_0_NN,GSE127257_gene_celltype_1_EX,GSE127257_gene_celltype_2_IN,GSE127257_gene_celltype_0_NN,GSE1303990_gene_celltype_1_EX,GSE1303990_gene_celltype_2_IN,GSE1303990_gene_celltype_0_NN
2746,Armc2,Gm12459,Gm7760,Gpr141b,6720469O03Rik,Gm3500,Ica1l,Gm19589,Gm24609,Rpl9,Nup54,Nnat,Cd83,Ssna1,Mup20,Camsap3,Gm16437,Gm12592
2747,Hapln4,Scn1a,8030443G20Rik,Sned1,Grm5,Gm34655,Gprin3,Bod1,n-R5s104,Mgst3,Arhgap24,Lpin3,Nemf,Btbd35f4,Tas2r144,Gm32552,Vil1,Hddc2
2748,Ranbp9,Myt1,AL607142.1,Ccl19-ps3,Zfp64,Vmn2r-ps133,Ddx18,Smarca2,Gm22689,Gm45353,Mospd3,Gm21956,Clec3a,Btbd35f28,Vmn2r111,Mir7078,Gm45678,AC091309.5
2749,2010109I03Rik,Fam222b,1700108F19Rik,Anapc4,Akap7,Etv3,Tunar,Dnajb3,Gm49177,Fyb,Snx21,Sapcd1,Tm4sf20,Gm5728,Olfr1038-ps,Ccl19,Gm18469,Gm16731
2750,Gm2803,Snurf,Gm37503,Gm47816,Gm11924,2900092N22Rik,Copg1,Caprin2,Gm44379,Sorbs1,Tmed7,AC166350.1,Hsbp1,Msl3l2,Olfr121,Gm15418,Gm5924,Mospd2
2751,Macc1,A430048G15Rik,Gm15962,Gm48836,Tbk1,Gm49604,9630015K15Rik,Fstl5,n-R5s130,Gm12364,Adcy7,Gm26759,Nacc1,Olfr167,Olfr908,Gm26110,Vmn1r-ps28,Zfp24
2752,Kcnd3,Cndp1,2610021A01Rik,Gm44374,Wtip,Gm24933,Gm30893,Ctdspl2,Gm22003,Gm13564,Gm22779,Apobr,Peli2,Gm19402,Olfr132,Rhof,Ccdc38,Prickle1
2753,Gm48076,Plekha7,CR974462.2,Gm25755,Gm25020,Pkd2l2,Tns4,Rogdi,Gm9634,Akr1c18,Exoc7,Bcl2l2,Vcpip1,Defa26,Olfr1251,Cnr1,Fgf1,Mbd6
2754,Gm47272,Ptgs1,Ncf1,Slc44a5,Acox1,Gm10655,Scap,Nucb2,Ros1,Stxbp6,Atp1b3,Gm22687,Cst6,Hoxb5,Olfr1110,Cdk10,4921515E04Rik,Mrm3
2755,Atl1,Gm14770,Sae1,Tnpo1,Gm39662,AC121874.1,Gm48747,Tiprl,Snord116l16,Sgsm3,Nudt4,Gm8253,Cd40lg,Plekhj1,Pate9,Prrt3,Gm13726,Ptprz1
2756,Gm42161,Gm3076,Vmn1r78,Olfr693,Gm25635,AC147219.1,Pmepa1,A030001D20Rik,n-R5s122,4930570G19Rik,Slc7a14,Gm48053,Kcnk16,Ptx3,Olfr1054,Gm40437,Gm17043,Slfn5
2757,Trp53i11,Nbr1,Gm34654,Ccdc180,Ankrd11,Gm7742,E330009J07Rik,1700086P04Rik,AY761185,Ankrd6,Amotl2,AC132481.2,Krt2,Igsf6,Vmn1r206,H2-T23,Sspo,Gm45606
2758,Gm11844,Mir7652,Ceacam-ps1,R3hcc1,Cct6b,Fpr-rs5,Ccm2,Mat2a,Gm18265,Pcdh15,Gm37827,Fgd2,Them7,Nr2c2ap,Olfr615,Gm42466,Gm11389,Gm24736
2759,Nrl,Gtf2ird2,Rnf122,Htr4,Samhd1,2210009P08Rik,Arpc2,Utp18,Olfr392,Klf16,Kcnn2,Rpl19-ps10,1810010H24Rik,Vmn1r120,Olfr1118,Gm32585,Gm39139,Gm29642
2760,Gm22827,4930473H19Rik,Gm38326,Igsf9,Gm34866,Vmn2r-ps117,Ank,Gm4832,Gm24219,Gm12577,Dnah17,Gm23172,Ipo7,Gm4513,Gm6890,Tnfrsf9,Snx2,Xkr8
2761,Igf1r,9330111N05Rik,Syt8,Gm2869,Mir683-1,Vmn2r-ps114,Gga2,Sil1,Gm6888,Trbv31,Gm45207,Gm47297,Mrs2,Adam6a,Olfr417,Nup50,Abcb1b,Mrpl28
2762,Piezo2,Yars,Gm38365,Cntn1,Gm11644,Gm35454,Ovol2,Elp1,Vmn2r87,Rgs8,Cntn3,Zkscan8,Gpr151,Gm21677,1810065E05Rik,4933412L11Rik,Chn1,Ptprtos
2763,Evi5,Adgrb3,Gm6630,Gm43452,Fa2h,Lrrc71,Chac1,Pars2,Gm24711,Ces1a,Gm22942,Atp5f1,Snrpe,Hist1h2ba,1810009J06Rik,Gm11631,Gm32772,Gm29491
2764,Gm11702,Gm22910,Erich2os,Cd34,Gm13874,AC121821.3,Gm12368,Celsr2,Gm13276,Gpr85,Nup50,Gm42965,Npm2,Btbd35f20,Tff2,Gm44734,Gm13335,Ankrd16
2765,Atad1,Mir9-3,Gm26174,Gm22031,Gm12408,Rhbg,Spata3,Adamts3,Gm25209,Mettl21a,Pebp1,Gm34322,Rcvrn,Mrpl41,Speer4e,Gm45887,Washc2,Srpx2
2766,Usp46os1,Uox,Gm48124,AC125091.1,Chchd7,Gm21839,Fam118a,Chrnb2,Gm41225,Socs3,Sgo1,Ubqln2,Mylk2,Asf1a,Olfr1002,9830144P21Rik,Gm12953,Gm29707
2767,F11,Gm7816,Arhgef1,Mgrn1,Mgat4a,Muc3a,Gm6588,Rsad1,Gm48492,AC134591.1,Ak3,AC166350.2,Wdyhv1,Coa3,Olfr199,Stard10,Gm49604,Ssbp4
2768,Gpr87,Nat10,Sp7,AC099605.1,Lamc2,Myl10,Alox12b,Mtch1,Gm14685,Gm23776,Timm13,Gm5335,Olfr1133,Vmn1r170,Krtap5-3,Ddx54,Gm43867,Prdm5
2769,Kcnip2,Gm27231,Ifi27,Pdia5,1810041H14Rik,Gm28710,Fgd4,Gm26025,Gm48398,Ces1f,Tmem132e,Naa16,Krtap16-1,Scgb2b18,Olfr147,Gm20406,Vmn2r43,Gm48770
2770,Gm18491,Me3,Gm8302,Sohlh2,Gtf2e2,Gm37828,Mast1,Epc1,Vmn1r86,Prdm8,Rcan2,Ccdc82,C1d,Gm7849,Olfr1186,Gpc1,Ctnna2,Arv1
2771,Nobox,Gm23951,Gm37555,CT025709.1,Gm45594,Gm25472,Csgalnact1,Gm6286,Gm5900,Inpp5b,Gm5050,Gm38074,Drd4,Vmn1r78,Olfr1163,Slc34a1,Plod1,Nfatc4
2772,Gm15419,Rps6kl1,Gm14585,Gm48614,Syne2,Rpl14,Kcna1,Aurka,9930111J21Rik1,Nanos1,Gm32335,Rdh5,Rpl39,Vmn1r59,Prl7c1,Cep83os,Gm7925,Ncf1
2773,Rgs9,Cthrc1,Trim30d,Olfr774,Zfp109,Vmn2r124,Gm35161,Tmtc1,Gm7353,Kcnk9,Phb,Ercc6l,Lactbl1,Mab21l2,Gm9758,Gm13021,Gm24066,Gm24723
2774,Man2a1,Orc1,Gm49304,Arsi,7120432I05Rik,Gm29374,Specc1,Gm5461,Gm13127,1700001O22Rik,Pgrmc1,Slc2a8,Yeats4,Hspb2,Olfr1308,Nat14,Ang-ps1,H2-M3
2775,Gm17212,Gm44609,Gm39556,Rpl28-ps2,Tmem260,Gm37662,Dock7,Tph2,Gm24089,Msx3,Nubp1,Smad7,Cdkn2aipnl,Mrm2,Epx,Mgrn1,Gm14641,Fam181b
2776,Megf11,Gm38027,Cactin,Gm18378,Acss1,Gm9574,Gm18114,Gm16638,Tnnt3,Il11ra1,Galnt1,AC112949.1,Mmut,Hist1h2bq,Skint10,Sumf1,Gm23981,Slitrk2
2777,C230057M02Rik,9930014A18Rik,Depdc7,Gm44431,Gpr89,Gm37111,Dcaf4,Gm49227,Usf2-ps1,Zfp638,Pcyox1,Cenpx,Armcx4,Vmn2r34,1700020A23Rik,Prr12,Gm46338,Tagln2
2778,Gm15632,H3f3a,Gm48187,Amy2a4,Rgsl1,Gm25936,Tmem163,Gm33682,Tcstv1,Pa2g4,Gm16251,Tspyl2,Fcmr,Olfr733,Vmn2r83,Epop,Gm11902,4933406C10Rik
2779,Pakap,Gm9403,Lyg2,Dcdc2c,Galnt11,Gm3194,Anp32a,Srsf7,Cd300ld2,Kyat3,Xpo1,Acer2,Zfp87,Olfr303,Med19,Gm2379,Vmn1r166,Sesn1
2780,D430036J16Rik,Cacnb2,Lpin3,Gm24826,Crhr2,Gm23268,Mfsd4b1,Nucks1,Tcp10c,Hdac5,AC155159.1,Gm16043,1700061G19Rik,Vmn1r79,1700123O20Rik,Lrfn5,Gm11784,Gm5852
2781,Pttg1ip,Sult4a1,CT009580.1,Zfp46,Slc47a1,Gm23269,Chgb,Gm24794,4930449I24Rik,Atp2b4,Hlcs,Slc10a6,Klrg1,Gm2016,Mocs3,Gm49277,Gm47058,Amdhd1
2782,Fat4,2310057M21Rik,Gm32376,Gm14465,Zdhhc16,Mir7239,Hjurp,Gm44102,Gm37416,Gm44430,Gm47096,Cldn11,Zdhhc15,Gm4214,Zfp955a,Fmc1,Gm24784,Gpr17
2783,Actr2,Ilf3,1500005C15Rik,Rabggta,Calhm6,Gm47786,Gm44632,Adpgk,Gm47189,Gm12746,AC139027.2,Rfesd,Prpf4,Vmn1r132,Gkn2,5031425E22Rik,Gm7901,AC134471.1
2784,Pcdh11x,Gm29487,Mir6927,Gm48053,Rps6kc1,2810030D12Rik,AC115789.1,Gm36445,Olfr773,Tep1,Gm26664,Ctso,5730480H06Rik,Magea3,Krt5,Psap,Col3a1,Bcam
2785,Spin1,Myo3a,Mir5621,Ndc1,Ppp2cb,Gm18180,Ass1,Fkbp2,Trav13d-2,Gm48692,Col19a1,Ginm1,Cyp1a1,Fbxl14,Lect2,Gm11767,Actn2,Gm16499
2786,Gm26814,4930532I03Rik,Gm18780,4930573C15Rik,Gm44497,Gm28884,Evc2,9130023H24Rik,Gm22801,Gm43580,Ccdc134,Acsf2,Nxnl2,Gm6121,Pigw,Gm15486,Ifi206,Gm36933
2787,Gm5086,4631405J19Rik,Gm43611,Met,Auts2,Gm7809,Cryzl1,Zfp661,Gm48106,Fancc,Lypla1,Creld1,Sf3b5,Csprs,Rhox2h,Zfp239,Olfr761,AI849053
2788,Rbbp7,Mapt,Lgals1,Gm32926,Gm43899,Por,Gtpbp1,Ppp2r5d,Ccdc170,Ncald,Cers5,Gm44837,Terb2,A930009A15Rik,Fam170a,Mir6769b,AC133607.3,Ccnyl1
2789,4933406B17Rik,Gm28756,AC147251.1,Dysf,Rnf139,Gm28262,Gm11762,B430212C06Rik,Gm19612,AC167363.3,Gm22411,Pkd1,Nudt10,Vmn2r46,Tcstv3,Slc23a3,Gm9271,Thtpa
2790,Ift43,Apcdd1,Foxn2,Cyp21a2-ps,Gm24458,C230053D17Rik,Gm37542,Zfp395,Gm24264,Srbd1,Nme9,Zfhx2os,Dynlt3,Vmn1r117,1700029P11Rik,Gm49553,Gm17173,Edem1
2791,Gm16350,Klhl11,1700127F24Rik,Gm28826,P4ha3,Gm11109,Ckmt1,Kif3c,Snord116l15,Ube2d1,Rufy3,Gm16341,Sema3g,Angptl8,Ppp1ca,Tmem121,Slc7a12,Gm24954
2792,Gm23214,Ier5l,Gm25033,Gas7,Cadm2,Fpr-rs7,Mgrn1,Ppp4r1,Gm8226,Gm21887,Mcidas,Gm34785,Plscr5,Prr15,Gm773,Qtrt1,Cep164,Stx5a
2793,Nyap2,Gm10531,Mir3965,Rpf1,Xpot,Ppp2r1a,Crybb3,Lcmt2,Gm15459,Sstr2,Atxn7l3,AC129309.1,Cer1,Btbd35f2,Svs3a,Gm48127,1700057G04Rik,Vangl1
2794,Gm26580,Prr5,Gm8797,Cacna1s,Spink10,Vmn2r111,Nat14,Scgb1a1,Gm25710,AC131323.3,4732440D04Rik,Pcdh11x,4930558K02Rik,Pclaf,4932429P05Rik,Mir7011,Rprl2,Gm7862
2795,Fam135a,Ripply2,Eci2,Gm43210,Slc6a1,Pcdha11,Peg3,Glyr1,Trav8-1,Igf1r,Syf2,Gm37125,Rab39b,Vmn1r178,Olfr692,Gm35394,Trpv1,Gm22118
2796,Gm12577,Slc25a25,Glyctk,Gm27013-1,Dcaf11,E030018B13Rik,Frem1,Ndufb5,Rhox4d,Slc4a10,Atp13a2,Gm15726,Ecd,Zrsr1,P2ry2,Trip4,Sgk3,Ier5l
2797,Gm34016,Slc24a3,Sema4c,Gm12670,Cyth3,Mir7034,Fxyd2,Retreg3,Gm21162,L1cam,Bcl9,Ceacam-ps1,Pimreg,Mrpl43,Ccdc152,Pnck,Akr1c14,Mir6963
2798,Tor3a,Mapkbp1,Rps19-ps6,Gm23838,Gm24241,Gm24923,Pgr,Luc7l2,Duxbl1,Asb2,Fam178b,Mad1l1,Akr1b7,Nrsn2,Vnn3,Smap2,March10,Gm47980
2799,Nox1,B3gnt6,Plk3,Gm22538,A630001O12Rik,Gm4301,Rab3a,Mecp2,Gm22476,Gm18903,Atp1b2,Frg1,Xlr3c,Ccl21a,9130409I23Rik,Mir7241,Atf7ip,Gm13053
2800,Gm13617,Pdlim3,Gm14012,Gm35940,Wrb,Gm3159,Slc17a9,Shisa7,Gm19331,Gm32031,Exoc4,Mak16,Hmgb2,Ndufaf3,Calml3,Ppp2r1b,Gm45090,Igf2bp3
2801,Tdrd3,Gm48532,Mettl22,Dusp11,Il2ra,Gm11239,Gm45837,D5Ertd579e,Gm5931,Ndufb2,Rnf146,Prox1,Skor2,Gm17455,Olfr49,Tmem25,Vrk2,Gm25973
2802,Npas4,R3hcc1,Gm21182,Hpcal1,Dmbx1,Gm23490,Tex2,Atp2a2,Gm33340,Gm42533,Gm11592,Cpt2,Fbll1,Gm13304,Krtap6-1,Efr3b,Gm7792,Map4k2
2803,Gm25613,Gm42995,Hhex,Gm5130,Zfp488,Vmn2r-ps24,Zfp574,Galnt10,Fthl17c,Gm15860,Sp8,Gm44105,Exosc7,A330070K13Rik,Olfr231,Dnajb1,Ano3,Cish
2804,Depdc5,Gm45605,Gm26520,Isl1,Gm43621,Mir7033,Mgat5,Gm43999,Gm42634,Sox5,Gm12941,Mpst,Clic5,Zfp213,Olfr913,Slc23a2,Capn3,Gm21981
2805,Gm9898,Rtn4ip1,Gm35135,Fermt1,Hmgb1-rs18,Eif1b,Kcng3,Brd3,n-R5s138,Bean1,Gm22500,1500002C15Rik,Siah1a,Krt88,Vmn2r17,Gm45632,Gm26818,Tap2
2806,Gm13913,Cltb,Gm6089,Gm13640,Cpeb1,Gm38010,Gm16271,Prss36,Gm15931,AC151978.1,Psmb3,Gm24623,Rbp3,Timm8b,Lilr4b,1700025N23Rik,Gm4804,Gm48079
2807,Nr1d2,6430571L13Rik,En2,AC127256.2,Tpst1,Topaz1,Stmn1,Hmbox1,Gm25452,Klhl20,A230107N01Rik,Gm43157,Cenpt,Olfr1428,Olfr33,Gm10398,Gm37972,N4bp2os
2808,Gm16419,Sgca,Mgst2,Tspan13,Eya4,AC147219.2,March11,Mapkbp1,Gm49265,Tbcd,Col26a1,Ap1s2,Gnat3,Gm20865,Olfr520,Klhdc8b,Vmn1r121,Dubr
2809,Wee2,Hsbp1,Gm42552,Mtfr1l,1700003P14Rik,Ctnnb1,Gm39271,Gm25290,Snord116l3,Gm48381,Nrtn,Rhoc,Tjp3,Olfr732,Olfr1393,Lin37,Pde7b,Eif4g1
2810,AC148004.2,Gm44347,Sgta,Gm9375,Gm31822,Gm37437,Entpd1,9530036O11Rik,Xlr5c,Clk3,Cdadc1,Rgs12,Spty2d1,Vmn1r85,Olfr1098,Katnb1,Gm14106,Gm16174
2811,9330198I05Rik,Ctdp1,Gm38642,Gm29649,Abcb11,Gm3526,Pkm,Prpf40b,Gm48449,Tmprss7,Cdh24,Gm6607,Sf1,Gm15292,Olfr813,Cdc42ep3,Kif15,AC149224.2
2812,Gm44022,Tshz1,Zfp428,4930431L21Rik,Gm43051,Tmco6,Magi1,Gm41505,Fthl17-ps1,Obsl1,Gm11408,Gm39456,Slc39a9,Vmn1r69,Scgb2b1,Tnpo2,Gm14594,Gm10472
2813,Ddo,Gm40153,Uhrf1,Stra6l,Mir375,Vmn2r112,Ppm1k,Gm45165,Gm48539,Tnfrsf4,Qk,AC121957.1,Mfap1b,Olfr124,Defb12,Unk,Gm6916,Fiz1
2814,Arl14ep,Tigd5,Clec4a2,Gm9487,Homez,Gm38021,AC026385.2,Ldb1,Gm24066,Gm48242,Dolpp1,Gm49076,Edaradd,Ube2d2b,Vmn1r196,Gm17849,Gm48600,Gm10617
2815,Tma7-ps,Zfyve27,Gm6044,Golga1,Fam169a,Vmn2r101,Slain1,Mir342,Cel,Zfp605,Nploc4,Gm25016,Gm12260,Gm16442,Apol11a,Edrf1,Eif3h,Sox14
2816,Dkk3,Tmod3,Gm8091,Prepl,Tmprss7,Vmn2r-ps129,Ascl5,Xrcc1,Gm23021,4930578M01Rik,A330070K13Rik,Dele1,Olfr1107,Gm7903,Vmn1r28,Gm34788,Gm46312,4732471J01Rik
2817,Gm33680,Gm28659,Klk10,Tnks1bp1,Hmgb1-rs17,Cmtm1,Gsk3a,Mospd3,Gm3417,Bet1l,Mrpl1,Fam168b,Tas2r119,Vmn1r173,Vmn2r99,Egln2,Lcp1,Mir1901
2818,Nup160,Pdgfa,Gm26588,Gm15572,Bbs5,Vmn1r-ps147,Gm12568,Ccdc85a,Gm13034,Drosha,Slc30a9,Aif1l,B4galnt2,Lrfn4,Olfr1312,Stam2,Gm48106,AC154492.2
2819,Gm23883,Gm25076,Gm47578,Cfap69,Faf1,Insrr,Abhd16a,Prdm2,Ptpn6,Gm34664,Cyb561d2,Eif4ebp3,Tomm5,Sry,Olfr776,Rpl38,Afap1,Atl3
2820,Gm24914,Gm38140,Gm47008,AC134446.1,1700034K08Rik,AC127314.1,Chd9,Ell,Gm49369,Cyp4x1os,Vps37c,Bbx,Slc27a6,Gm5901,Vmn2r72,Fam19a1,Gm12013,Tia1
2821,Armc7,9330102E08Rik,Gm11520,Gm26169,Lrrfip2,Mark1,Vwa3b,Gm25301,Gm29539,Tmem231,Prorsd1,Zfhx2,D6Wsu163e,Ccl19,Olfr935,Il17c,Vmn2r41,Ssr4
2822,Gck,Smug1,Smpd5,Synm,9430018G01Rik,Gm25167,Gm42941,Gm11509,Olfr974,Slc23a2,9130401M01Rik,Slc25a27,BC049715,Olfr262,Vmn2r73,1810046K07Rik,Smarce1-ps1,Zfp771
2823,Hsd17b4,Pimreg,Gm26608,Slc17a5,Igsf5,Zfp946,Mtch2,6430550D23Rik,Gm23471,Chd6,Prpf40b,Mir7688,Cenpj,Grin3b,Taar8a,Prrg2,Pacsin2,Gm10010
2824,Tomm20l,Gm10564,Gm42495,4930578N18Rik,Gm22741,Cops7b,4930532M18Rik,Epha5,Snord116l7,Myo5b,D730045A05Rik,Gbp3,Cfap73,Olfr620,4930513O06Rik,Gm17167,Havcr1,Gm36246
2825,Mir6995,Adamts6,Cd53,Gm10440,Gm26869,Gm37694,Gm14285,Gm42995,Gm23147,Gstp2,AC102132.1,Gm22910,Atoh1,Gm19668,Olfr1020,Gm25416,Gm22506,Lamp2
2826,Gm38252,Psmg3,Apobr,Mir153,AC102548.1,Nppc,Pla2g2d,Gm11510,Gm18039,Gm13021,Far1,Gm31135,Spaar,Cxcr6,Olfr53,Gm13016,Gm3269,St6galnac2
2827,Rps11-ps5,Gm29389,Gm13588,Cyp51,Gm9139,Alppl2,Ttc8,Rtl5,Gm7152,Nudt15,Ppp3cc,Gm43982,Mageb18,Chad,Olfr1141,Cltc,Pilra,Hist1h4h
2828,Robo2,Hnrnpab,Gm23957,Tmem74,Tmem174,Gm3252,Ank1,Pcdhac1,Gm23089,Tcte2,Gm22068,Folh1,Acmsd,9430069I07Rik,Vmn1r17,Gm23244,Pcsk6,Marcks
2829,Panx3,Fut4-ps1,Agpat2,Ces1b,Gm12069,Zfp942,Tef,Gm11190,Gm48691,Gm22514,Mpped2,Snx9,Rtraf,Vmn1r73,Olfr934,Ntmt1,Stat4,Blcap
2830,Agap1,AC115822.1,Gm26115,Ush1c,Gm9111,Gm5145,Gm15587,Parp11,Gm3020,Trappc5,Gm48712,Lrrc4b,Zfp799,Hmgb4,Olfr1036,9330161L09Rik,Carmil1,Gm17473
2831,Gm49348,Csnk1d,Mir6387,Apold1,Gm11403,Gm3527,Carm1,Usp9x,Gm22050,Trrap,Gm5082,Alg6,Slc25a37,Gm21943,Ccdc70,Gm6750,4932438H23Rik,Yap1
2832,Gm45777,Bak1,Tmem221,Vash1,Akap12,D930036K23Rik,Bola1,1700047F07Rik,Gm43107,Gm36938,Gm18550,Ing5,Mcm5,Olfr1432,Ifna9,Gm45496,Gm4257,Vps26b
2833,Gm37631,Gm7494,Fgf11,Gm22784,Ffar2,Gm21972,Ptprk,Gm37844,Gm8750,Rpl28-ps1,Eif2ak4,Nfkbib,Ccl11,Vmn1r74,Sprr2h,Soga3,Gm48187,Gng8
2834,Gm47509,Trim33,Gm9157,Gm37934,Gm6667,Ecel1,Gm47589,Atf4,Gm3629,Wnk1,Atp1b1,2300009A05Rik,Parp4,Slc25a2,1700008P02Rik,Arsi,Gm13961,Cfap45
2835,4921511C10Rik,Akain1,Gm7931,Strbp,Panx1,Chrnd,Gm46555,Gm30684,AC166110.2,Tmem87b,Serpinh1,Gm26586,Cyp46a1,Olfr867,Vmn1r200,Mir135b,Pdzrn4,1810059C17Rik
2836,Slc25a26,Tfdp1,Gm49792,Pgpep1l,Gm5479,Chrng,Zfp169,Nubpl,Olfr891,Ppp1r1a,Rtkn2,Cd300a,Lin28b,Kiss1r,Olfr523,Coro1c,Gm24317,Klhl28
2837,Fam13b,Ces2g,Gm15322,Bid,4930488L21Rik,Eif4e2,Hcn4,Atp5c1,Trav4n-4,Junos,Gm4969,Gm47648,Spcs2,Tnp1,Olfr1162,Mir6923,Pxk,Gm24695
2838,Gm15082,Atpaf2,Gm25925,Gm29739,Hnrnpa1l2-ps2,Gm23786-1,Gabra1,Mia3,4930467E23Rik,Ccdc34,Cbx8,4930444E06Rik,Prm1,Ackr4,Olfr1220,Ache,Gm42953,Gm17361
2839,Kat14,Cd164,Gm13412,Cenpw,Gm2398,Gm34073,Lpcat1,Srsf4,n-R5s146,Dcaf17,Gm22811,Miga2,Lrrc74a,Spry3,Olfr1310,Samd10,Gm7391,Gm13757
2840,Htr6,Gm44286,Zfp981,Tomm20,4930432O09Rik,Efhd1,Pnkp,Derl2,Gm9204,Phgr1,Rmc1,BC037032,Adam34,Vmn2r45,Tdpoz4,Senp3,Gm8046,Gm29458
2841,Adrb3,5830428M24Rik,Gm48806,Gm4815,Apba1,Fpr-rs6,Rundc3b,Mir598,Gm24798,Tbxas1,Gm37885,Rmdn2,Lhx5,Vmn2r48,Olfr883,Gm47109,Txnrd1,Jam2
2842,Gm14673,Gm25200,Mybpc2,Gm11879,Gm48198,Gm37967,Rpgrip1l,Kcnn1,Gm32624,Kcnip4,1700040D17Rik,Mir7243,Gpr142,Vmn1r228,Il17a,Fam57b,Gm23822,Gm49336
2843,Thy1,Gm15558,Gm22808,Gm4796,Tti2,Gm37695,Slc16a10,Adgra1,Gm12791,Nmnat3,Arfgap2,Acot13,C1qtnf6,Ptrh1,Olfr64,Tprgl,Ppp2r3a,Gm28707
2844,Ube2d3,Gm48869,AC123853.1,Ccdc33,Plagl1,Ptma,Ngb,Sfr1,Gm3409,Mroh5,Gm44102,Usf3,Rbpjl,Timm21,Olfr1164,Cyhr1,Gm47478,Mir7089
2845,2900072N19Rik,AC150898.1,Sohlh1,Gm45871,Gm15180,Gm39348,Timm22,Fam131b,AC122271.2,Cipc,Gm47282,Gxylt1,Prps1,Defa32,Cyp3a16,Pcbp4,Washc3,Gm16638
2846,Slc35b1,Pafah1b2,Mmp19,Gm47267,Skor1,Gm37241,St3gal5,Rcc2,Olfr156,Gm13022,Dst,Cx3cr1,Atg14,Cstf2t,Olfr1090,Cnppd1,Gm45279,Tvp23b
2847,Ier5l,Gm11817,Toe1,Cyb5d2,Tex47,Nmur1,Cdhr3,Acan,Gm7224,Asphd1,St3gal6,Rab13,Rspo4,Vmn1r77,Olfr134,Sertad1,Gm3665,Gm16181
2848,Samd13,Zfp362,Gm47132,Gm19863,Srsf11,Gm28375,Secisbp2,Atp5d,Rpl7a-ps7,Shprh,AC131185.2,Gm39302,Krt82,Gm21693,Reg1,Arnt2,Gm19211,Gm16168
2849,Zkscan16,Ube2f,Gm9985,Gm37912,Zfp521,Gm39456,Kcna4,2810457G06Rik,2300003K06Rik,Prkg2,Ncoa5,Plpp2,Scn4a,Vmn1r113,Klk1b21,Coch,Gm22269,Mpdu1
2850,Gm47549,Tctex1d1,C4b,Rab12,Gm7275,AC141471.3,Zglp1,Mt3,Gm9077,Tpst1,Calb2,Wdr20,Kbtbd6,Gm4297,Olfr1188,Gm48284,Gm25135,Gm44787
2851,4930402H24Rik,Mcidas,Tank,Gm38399,Gm23712,Gm24487,Erc1,Cnot8,Clca4b,Ankrd24,Ube2b,Gm10253,Rpn1,Vmn1r104,Lce1e,2700012I20Rik,Gm12670,Arl3
2852,Gm22454,Gm12632,A530083I20Rik,Lipo3,Zfp69,Sp100,Sh2d4b,Gm27313,Gm9117,Susd6,2410004I01Rik,Scgb1a1,Psmb2,Olfr485,Olfr448,Ptms,Gm48715,Gm37037
2853,Gm20063,Zdhhc20,Smad5,Gm46565,Gm26280,Itm2c,Amh,Timeless,Cypt12,Pdcd11,Fbxl5,Gm43077,Pdgfrl,F2rl2,Rhox4e,Gm45073,E130311K13Rik,Fam167a
2854,Gm27458,Tsc1,Rpl31-ps10,Babam2,Myo3a,Gm47128,Map2k4,Kcnt1,Gm26119,Rubcn,Gm9987,Calm2,Grxcr2,Efna2,4933436I01Rik,Gm37871,Gm16412,Bphl
2855,Nfyb,Gm33091,Usp30,Gm12271,Gm22221,Upk3bl,Ccdc177,Arhgap35,Gm48624,Csnk1e,Gm38340,Tha1,Letmd1,Gm10354,Gm10228,Racgap1,Trim24,A930012L18Rik
2856,Prkar2b,Gm42939,Angpt2,Gm37202,Dydc1,4933407L21Rik,Abhd6,Vsig8,Gm8809,Prss22,Gm15978,Sos2,Hspa2,Camk2n2,Olfr1535,Rhbdl1,Ciita,Clec14a
2857,Fam184a,Atp5a1,Gm26694,Gm14419,Gm17508,Sra1,AC131675.3,Hnrnpa2b1,AC122846.1,Sgip1,Fryl,2310005A03Rik,Zfyve26,Tsga8,Olfr457,Gm42939,Zfp419,Ftx
2858,Olfr145,Tmem87b,Gm15849,Kcnh5,Nav1,Gm25169,Pla2g4e,Gm30262,Gm14413,Dlg4,Gm43999,Gm12808,Gm1587,Vmn1r10,Olfr330,Ankrd10,Gm25354,AC126937.2
2859,Gm36945,Gm14114,Gm26775,Gm5542,Olfr1509,Plxdc2,Atcay,Gm26647,Tcp10a,Pcp4,Gm27762,D830024N08Rik,Tigd4,Rubcnl,Olfr1111,Trhde,Gm49074,Mir125b-1
2860,Gm12035,Gm24224,Edem2,Gm47801,Rnf183,Spata3,Borcs5,Atp11a,Gm25597,Gm3693,Cdc5l,AW046200,Klk1b22,Hist2h2ac,Olfr96,Chpf,Rfx4,Dcun1d4
2861,Gm28710-1,Id3,Gm17163,Atp13a5,Gm37504,2810459M11Rik,9530086O07Rik,Gm47936,Cct3-ps1,Hist1h2bf,Bcdin3d,Gm49612,Laptm4a,Olfr165,Try4,Mir7b,Gm10653,Syvn1
