,SF_IN,SF_EX,SF_NN,CU_IN,CU_EX,CU_NN,TA_IN,TA_EX,TA_NN,TN_IN,TN_EX,TN_NN,SM_EX_L2.3.IT,SM_EX_L5.6.NP,SM_EX_L5.ET,SM_EX_L5.IT,SM_EX_L6.CT,SM_EX_L6.IT.Car3,SM_EX_L6b,SM_IN_Lamp5,SM_IN_Pvalb,SM_IN_Sncg,SM_IN_Sst,SM_IN_Vip,SC_IN,SC_EX,SC_NN
21,Kit,Ovol2,Prr5l,,,,Cdk6,Cdh13,Opalin,Sox2,,Cldn11,Gm42864,Wscd1,Teddm3,Col15a1,Rnf152,Smoc2,6530403H02Rik,Igsf11,Inpp5j,March3,Pdyn,Glra2,,,
22,Npas3,Gm28905,Mertk,,,,Cbln4,Ddit4l,Itgam,,,Mag,Emx2,Rasgrp2,Syt2,Cnih3,Krt80,Lypd6,Dlg5,Sema5a,Mypn,Cck,Ifit1,Svil,,,
23,Zfp536,Fap,Hepacam,,,,Myh8,Col6a1,Ctss,,,Mog,Fam19a1,Olfm3,Dppa1,Prrg1,Slc12a4,Angpt1,Kcnab1,Smad3,Rasa4,Gulp1,Hpse,Cacng5,,,
24,Reln,Scube1,Grin2c,,,,Tacstd2,Chrna6,Cx3cr1,,,Opalin,Emx2os,Samd5,Layn,Fras1,Chrna5,Cpne4,Slc9a3r2,Kcnk13,Frmpd1,Col12a1,Crhbp,Cpne2,,,
25,Kcns3,Dclk3,Acsbg1,,,,Th,Foxp2,C1qb,,,Gjb1,Syt17,Ano5,Sv2c,Cbln4,Sla,Sstr2,Rai14,Fgf13,Adssl1,Lix1,Adamts18,Dennd2a,,,
26,Sox6,Crhr1,F3,,,,Spp1,Mgp,Gpr34,,,Hapln2,Reln,Fezf2,Serpine2,Susd5,Spsb1,1500009L16Rik,Cpne2,Gabra5,Cntnap4,Prkd1,Sema3a,Cacna1h,,,
27,Pde11a,Vipr1,Slc39a12,,,,Pvalb,Ly6d,Flt1,,,Cyba,Sertm1,Sema6a,Tmem163,Tcap,Ramp3,Dner,Htr1d,Jam2,Sgpp2,Pax6,Man1a,Igf1,,,
28,Maf,Kcnh3,Ntsr2,,,,Cpne5,Sla,Id1,,,Ctsh,Lpl,Rnf152,Kcng2,Ptgfrn,Fam43a,Elovl2,Igfbp5,Mmp17,Mitf,Jam2,Tnni3k,Ptprz1,,,
29,Synpr,Tex40,Id3,,,,Tpbg,Car12,Xdh,,,Ifitm3,Pcdh8,Cntn6,L3mbtl4,Tspan11,Col5a1,Shisa6,Nhs,Unc5c,Lpl,Necab1,Paqr5,Chat,,,
30,Dusp10,BC030499,Mlc1,,,,Gpx3,Syt17,Tbc1d4,,,S100a11,Aldh3b1,Myl4,Fam126a,Dapk2,5330416C01Rik,Luzp2,Ror1,Cplx3,Gm26633,Scml4,Ano3,Penk,,,
31,Afap1,Pcsk2,Zfp36l1,,,,Rspo2,Prss22,Exosc7,,,Vtn,Nectin3,Mtss1,Fam19a1,Adcyap1,Hcrtr2,Zfp804a,Kcnn3,Tgfbi,Acan,Serpine2,Pou6f2,Grpr,,,
32,Alk,Slc17a7,Cyp2j9,,,,Wt1,Ctgf,Myl9,,,Igf2,Gucy1a1,Efnb3,Arhgap12,Grm2,Ppp1r1b,Lepr,Hpcal1,Ltbp2,Gm19410,Trp53i11,Stxbp6,Sall1,,,
33,Tmem132c,Nrgn,Itih3,,,,Obox3,Tnmd,Crip1,,,Slc6a13,Gucy1a3,Neto2,Gm2164,Hspb3,Sebox,Cracr2a,Sema5b,Teddm3,Gpnmb,Epb41l4a,Pde1a,Calb2,,,
34,Rerg,3110035E14Rik,Kcnj10,,,,Tacr3,Serpinb11,Bgn,,,Dcn,Fst,Plcxd2,Gm6260,Krt12,Obscn,Pdia5,Rcan3,Cd34,Nog,Trim36,Cpne5,Nrp1,,,
35,Pde5a,Kcnv1,Csrp1,,,,Igtp,Rgs12,Vtn,,,Lum,Gm42722,Spon1,Trpc7,Kcnh5,Ighm,Nckap5,Sema4g,Bmp3,Adgra3,Adam12,Gm16083,Col15a1,,,
36,Elfn1,Arc,Gramd3,,,,,,,,,Osr1,Zfp536,Trp53i11,Npsr1,Fam19a2,Trbc1,Fap,Ptger3,Kit,Rgcc,Cpne2,Ildr2,Ostf1,,,
37,Nxph1,Itpka,Tril,,,,,,,,,Spp1,Stc1,Camk2d,Gm42707,Hbegf,Prss35,Gm2694,Glra2,Ipcef1,Tmem108,Cxcl14,Cdh9,Nr2e1,,,
38,Arhgef6,Rasl10a,Aqp4,,,,,,,,,Col1a1,Enpp2,Plcxd3,Nefh,Tmem145,Pde9a,Stk32c,Gng12,Gm28154,Bcl2l11,Plppr1,C1qtnf7,Tpbg,,,
39,Vwc2,Arhgap25,Btbd17,,,,,,,,,Slc13a3,Synpr,Mro,Adamtsl5,Coch,Ptch2,Ptpru,Prss12,Colec12,Trps1,Npy2r,Prkg2,Htr4,,,
40,Rab3b,Ptk2b,Cpq,,,,,,,,,Six2,Col19a1,Kirrel3,Snrpn,Tshz1,Shb,Ntn4,Mitf,Grhl1,Nefh,Slc44a5,Stk32a,Prox1,,,
41,Rbms3,Klf10,Neat1,,,,,,,,,Cxcl9,Slc29a4,Tmem159,Vat1l,Igsf3,Agtr1a,Gng2,Olfr111,Lmo7,Iqgap2,Khdrbs2,Glra3,Npy5r,,,
42,Grin3a,Rasal1,Daam2,,,,,,,,,Slc22a6,Rps6ka2,Slit1,Flt3,Gm40331,Mgp,Gm37640,Olfr110,Nfib,Flt3,Fam19a1,Klhl14,Bmper,,,
43,Dock11,Hs3st4,Mfsd2a,,,,,,,,,Col15a1,Col11a1,Rnf182,Tox2,Tnnc1,Otx1,Lxn,Ttn,Prex2,Slc35f3,Sema3c,Rbp4,Gm17750,,,
44,Sema3c,Ano3,Cyp2d22,,,,,,,,,Slc38a11,Palmd,Trpc3,Bcan,S100b,Prss23,Prkcd,Wnt5b,Pip5k1b,Ahr,Gng4,Kcnmb4,Fxyd6,,,
45,Mybpc1,Fam212b,Tns3,,,,,,,,,Atp13a5,Fam84a,Irak2,Slco2a1,Scube1,Ptk7,Ndrg1,Kirrel,Gpr63,Sphk1,Rspo3,Trpc6,Ap1s2,,,
46,Grik1,Cobl,Cald1,,,,,,,,,Ace2,Penk,Srgap1,Col8a1,Crhr1,Adamts16,Tmcc3,Tgfa,Fmo1,Adamts8,Cacng4,Elfn1,Magi3,,,
47,Tox3,Trabd2b,Gab1,,,,,,,,,Kcnj8,Rgcc,Kremen1,Ust,Cyp39a1,Ahnak,Ntng2,Cacng5,Tnnt1,Dhrs3,Npas1,Smc2,Slc5a7,,,
48,Eya4,Abi3bp,Fgfr3,,,,,,,,,Acta2,9630002D21Rik,Sla2,Cdh20,Atp1b2,Igf2bp2,Slc7a11,Ly6g6e,Chst7,Il1rapl2,Krt73,9630002D21Rik,D030055H07Rik,,,
49,Ubash3b,Hs3st2,Lfng,,,,,,,,,Myh11,Pdyn,Ntn1,Reln,Ptchd4,Pgf,Cmbl,Lypd6b,E130114P18Rik,Sox5os2,Yjefn3,Prdm1,Pthlh,,,
50,Nhs,Neu2,Dbx2,,,,,,,,,Slco1a4,Pvrl3,Cacng5,Adamts2,Myo16,Dhrs3,Vgll2,Cdh18,Dock5,Fras1,Cilp2,Ccna1,Prox1os,,,
51,Cntnap3,Ccdc3,Gli3,,,,,,,,,Cldn5,Lrg1,Acvrl1,Nrip3,Scx,Trbc2,Adamts6,Sec24d,Thrsp,Sox5os4,Gm15345,Ror2,Igfbp5,,,
52,Ptprm,2010300C02Rik,Arhgef19,,,,,,,,,Ctss,Wfs1,Ccdc88b,Htr4,Hrh3,Pxdc1,Tll1,4930555F03Rik,Car4,Agmat,Nr1h4,Slc5a5,Pde3a,,,
53,Cntnap5c,Icam5,Cobll1,,,,,,,,,C1qa,Glis3,Kank4,Rab3c,Kcnab3,AC163018.1,Gm29571,Gm2516,Nfia,Nxph2,Adarb2,Kcnmb4os2,Scn5a,,,
