,SF_IN,SF_EX,SF_NN,CU_IN,CU_EX,CU_NN,TA_IN,TA_EX,TA_NN,TN_IN,TN_EX,TN_NN,SM_EX_L2.3.IT,SM_EX_L5.6.NP,SM_EX_L5.ET,SM_EX_L5.IT,SM_EX_L6.CT,SM_EX_L6.IT.Car3,SM_EX_L6b,SM_IN_Lamp5,SM_IN_Pvalb,SM_IN_Sncg,SM_IN_Sst,SM_IN_Vip,SC_IN,SC_EX,SC_NN
14262,Fgr,1700018G05Rik,Gm15223,,,,,,,,,,,,,,,,,,,,,,,,
14263,Gm15610,4930529I22Rik,Klk11,,,,,,,,,,,,,,,,,,,,,,,,
14264,Tatdn2,LOC100043315,Gm12026,,,,,,,,,,,,,,,,,,,,,,,,
14265,Gm21680,Olfr587-ps1,Zfp329,,,,,,,,,,,,,,,,,,,,,,,,
14266,LOC105242626,LOC102638442,Trappc2,,,,,,,,,,,,,,,,,,,,,,,,
14267,Cd2ap,Kif16bos,Timm50,,,,,,,,,,,,,,,,,,,,,,,,
14268,LOC102238517,Gm34101,Gm36225,,,,,,,,,,,,,,,,,,,,,,,,
14269,Krt40,Dnmt3l-ps1,Mrpl48,,,,,,,,,,,,,,,,,,,,,,,,
14270,Wnt8a,Gm34541,Slc4a5,,,,,,,,,,,,,,,,,,,,,,,,
14271,Plekhd1os,Pgk1-ps1,Mlycd,,,,,,,,,,,,,,,,,,,,,,,,
14272,Bhlha15,Ankrd33,Pklr,,,,,,,,,,,,,,,,,,,,,,,,
14273,Emc7,Rpl32-ps,Syce1l,,,,,,,,,,,,,,,,,,,,,,,,
14274,Kcnj15,Mir7233,Gm5538,,,,,,,,,,,,,,,,,,,,,,,,
14275,Ostc,Arrdc2,Gm4794,,,,,,,,,,,,,,,,,,,,,,,,
14276,Gm29913,Gm4884,Gm34079,,,,,,,,,,,,,,,,,,,,,,,,
14277,Gm10480,LOC105246271,Gm19463,,,,,,,,,,,,,,,,,,,,,,,,
14278,Gm35243,Gm8007,Nlrp4e,,,,,,,,,,,,,,,,,,,,,,,,
14279,Pcdhgb1,Gm17027,Vax2os,,,,,,,,,,,,,,,,,,,,,,,,
14280,Gm9392,Pnpla1os,4930471M09Rik,,,,,,,,,,,,,,,,,,,,,,,,
14281,Cngb1,Gm30709,Gm10010,,,,,,,,,,,,,,,,,,,,,,,,
14282,Gm8813,1700100L14Rik,Gm9496,,,,,,,,,,,,,,,,,,,,,,,,
14283,Gm595,Gm5302,Six3,,,,,,,,,,,,,,,,,,,,,,,,
14284,Gm14130,Snord14c,Gm5888,,,,,,,,,,,,,,,,,,,,,,,,
14285,Abca7,LOC105246689,Ocstamp,,,,,,,,,,,,,,,,,,,,,,,,
14286,Tor1a,Gm15148,Gm8572,,,,,,,,,,,,,,,,,,,,,,,,
14287,Mtfr2,Gm34701,Gm1969,,,,,,,,,,,,,,,,,,,,,,,,
14288,Snora23,Gm32468,Gm28979,,,,,,,,,,,,,,,,,,,,,,,,
14289,Gm11225,4833427F10Rik,Letm1,,,,,,,,,,,,,,,,,,,,,,,,
14290,Gm26797,AI607873,Gm8784,,,,,,,,,,,,,,,,,,,,,,,,
14291,Rwdd2b,Gm5749,Mrps5,,,,,,,,,,,,,,,,,,,,,,,,
14292,Hilpda,Pigl,Snord37,,,,,,,,,,,,,,,,,,,,,,,,
14293,Il31,Gm5891,Zfp369,,,,,,,,,,,,,,,,,,,,,,,,
14294,Arf1,Gm42750,Gm2651,,,,,,,,,,,,,,,,,,,,,,,,
14295,Rhbdf2,Gm43030,Gm4857,,,,,,,,,,,,,,,,,,,,,,,,
14296,Mir380,Gm19041,LOC105244466,,,,,,,,,,,,,,,,,,,,,,,,
14297,Gm13675,Gm5621,Gm34432,,,,,,,,,,,,,,,,,,,,,,,,
14298,Gm7366,4930405D11Rik,Gm13478,,,,,,,,,,,,,,,,,,,,,,,,
14299,Gm31720,Sohlh1,Gm8049,,,,,,,,,,,,,,,,,,,,,,,,
14300,C9,LOC105244273,Vmn2r-ps87,,,,,,,,,,,,,,,,,,,,,,,,
14301,Ndufaf3,2810006K23Rik,Zbtb25,,,,,,,,,,,,,,,,,,,,,,,,
14302,LOC105245954,Gm19098,Gm14108,,,,,,,,,,,,,,,,,,,,,,,,
14303,Gm31621,Gm5513,Rps23-ps2,,,,,,,,,,,,,,,,,,,,,,,,
14304,4930484H19Rik,LOC105247274,Slc22a20,,,,,,,,,,,,,,,,,,,,,,,,
14305,Gm30790,Gm9733,Kantr,,,,,,,,,,,,,,,,,,,,,,,,
14306,LOC105246917,LOC105242646,Mrpl12,,,,,,,,,,,,,,,,,,,,,,,,
14307,Ckap5,Pcdha6-g,Gm12461,,,,,,,,,,,,,,,,,,,,,,,,
14308,Slc26a2,Gm26910,Gm15195,,,,,,,,,,,,,,,,,,,,,,,,
14309,Gm43254,Cyp2b23,LOC105243966,,,,,,,,,,,,,,,,,,,,,,,,
14310,Pgr15l,Cox18,D930007J09Rik,,,,,,,,,,,,,,,,,,,,,,,,
14311,Gm17613,1700066O22Rik,Gm9068,,,,,,,,,,,,,,,,,,,,,,,,
14312,Vmn1r139,Gm36865,Gm3028,,,,,,,,,,,,,,,,,,,,,,,,
14313,Gm21830,Mir7031,Gm8031,,,,,,,,,,,,,,,,,,,,,,,,
14314,Gpr162,LOC102633777,Cyp4a10,,,,,,,,,,,,,,,,,,,,,,,,
14315,Gm35652,Gm6480,Gm31004,,,,,,,,,,,,,,,,,,,,,,,,
14316,Mfap2,Serpina1c,Kif20a,,,,,,,,,,,,,,,,,,,,,,,,
14317,LOC102637985,BC002059,Cacng7,,,,,,,,,,,,,,,,,,,,,,,,
14318,Gm7390,LOC105245350,Gm13178,,,,,,,,,,,,,,,,,,,,,,,,
14319,Gm9349,AY702103,Mapk8ip1,,,,,,,,,,,,,,,,,,,,,,,,
14320,Slc6a19os,Gm30852,Hsd3b5,,,,,,,,,,,,,,,,,,,,,,,,
14321,Oas1h,Gm30260,L3mbtl3,,,,,,,,,,,,,,,,,,,,,,,,
14322,Gm34338,Gm13386,Gm28100,,,,,,,,,,,,,,,,,,,,,,,,
14323,Gm35471,Gm31064,Gm14064,,,,,,,,,,,,,,,,,,,,,,,,
14324,Ccar2,Tspan10,Gm4052,,,,,,,,,,,,,,,,,,,,,,,,
14325,Wfdc11,Gm8410,Gm14473,,,,,,,,,,,,,,,,,,,,,,,,
14326,Ap2s1,Gm15532,Gm6756,,,,,,,,,,,,,,,,,,,,,,,,
14327,LOC105246502,Gm33587,Gm2059,,,,,,,,,,,,,,,,,,,,,,,,
14328,Gm17041,4930564D02Rik,Uqcc1,,,,,,,,,,,,,,,,,,,,,,,,
14329,4930414N06Rik,Gm11011,Gm7823,,,,,,,,,,,,,,,,,,,,,,,,
14330,Gm35939,Mir667,Flnc,,,,,,,,,,,,,,,,,,,,,,,,
14331,LOC105244850,Psmb7-ps2,Rpl23a-ps5,,,,,,,,,,,,,,,,,,,,,,,,
14332,Trit1,Gm4789,Spata25,,,,,,,,,,,,,,,,,,,,,,,,
14333,Fut4-ps1,Gm32646,Chst12,,,,,,,,,,,,,,,,,,,,,,,,
14334,Gm15528,Bhlhe23,LOC105243533,,,,,,,,,,,,,,,,,,,,,,,,
14335,Gm13837,Gm19585,Sh3d2c-ps1,,,,,,,,,,,,,,,,,,,,,,,,
14336,C530025M09Rik,Gm33752,Gm29644,,,,,,,,,,,,,,,,,,,,,,,,
14337,1700071G01Rik,Rab3gap2,Mrpl40,,,,,,,,,,,,,,,,,,,,,,,,
14338,Cdc23,Gm18822,Rslcan18,,,,,,,,,,,,,,,,,,,,,,,,
14339,Gm43995,Gm5967,Tmigd1,,,,,,,,,,,,,,,,,,,,,,,,
14340,4931413I07Rik,LOC105243417,Gm8181,,,,,,,,,,,,,,,,,,,,,,,,
14341,Gm28364,Rps12-ps9,Zfp618,,,,,,,,,,,,,,,,,,,,,,,,
14342,Gm8261,Defb41,LOC105242427,,,,,,,,,,,,,,,,,,,,,,,,
14343,Vmn1r61,Mrpl16,Lexm,,,,,,,,,,,,,,,,,,,,,,,,
14344,Tmed11,Fbxw21,Gm15976,,,,,,,,,,,,,,,,,,,,,,,,
14345,Gm12892,Gm31711,Gm5403,,,,,,,,,,,,,,,,,,,,,,,,
14346,LOC102635705,Gm16508,LOC105246090,,,,,,,,,,,,,,,,,,,,,,,,
14347,Mir1912,Lctl,Bdkrb1,,,,,,,,,,,,,,,,,,,,,,,,
14348,Adamtsl4,LOC105246715,Cidec,,,,,,,,,,,,,,,,,,,,,,,,
14349,Eef1a2,Gm7594,Gm31230,,,,,,,,,,,,,,,,,,,,,,,,
14350,Gm16559,Gm12037,Scaf4,,,,,,,,,,,,,,,,,,,,,,,,
14351,Gm12416,Gm15848,Gm4993,,,,,,,,,,,,,,,,,,,,,,,,
14352,Gm4968,LOC105246953,Gm8170,,,,,,,,,,,,,,,,,,,,,,,,
14353,LOC105245903,Il3,Isy1,,,,,,,,,,,,,,,,,,,,,,,,
14354,Ghrhr,Gm5400,Gm7378,,,,,,,,,,,,,,,,,,,,,,,,
14355,Gm15326,Gm19247,Rpl13-ps2,,,,,,,,,,,,,,,,,,,,,,,,
14356,Rpl31-ps20,Gm10845,Gm34617,,,,,,,,,,,,,,,,,,,,,,,,
14357,Arrdc5,5330439K02Rik,Hnrnpul2,,,,,,,,,,,,,,,,,,,,,,,,
14358,LOC105244978,Lce1g,Gm5212,,,,,,,,,,,,,,,,,,,,,,,,
14359,Trpm5,Gm9488,Gm13196,,,,,,,,,,,,,,,,,,,,,,,,
14360,Gm16470,Amd-ps1,Alppl2,,,,,,,,,,,,,,,,,,,,,,,,
14361,Yipf3,Ntpcr,LOC105242900,,,,,,,,,,,,,,,,,,,,,,,,
14362,AU016765,LOC105242962,Gm7429,,,,,,,,,,,,,,,,,,,,,,,,
14363,Mir6393,LOC105245460,Gm6929,,,,,,,,,,,,,,,,,,,,,,,,
14364,LOC105246084,Gm4319,Gm20762,,,,,,,,,,,,,,,,,,,,,,,,
14365,Nkx6-1,Nim1k,Gm8986,,,,,,,,,,,,,,,,,,,,,,,,
14366,LOC105246757,Gm12345,Rfx6,,,,,,,,,,,,,,,,,,,,,,,,
14367,Gm34639,Snord92,Gm13051,,,,,,,,,,,,,,,,,,,,,,,,
14368,Gm31386,Rnf225,Gm18936,,,,,,,,,,,,,,,,,,,,,,,,
14369,Asb8,LOC102633047,LOC102633588,,,,,,,,,,,,,,,,,,,,,,,,
14370,Fzd9,Gm7043,Ercc3,,,,,,,,,,,,,,,,,,,,,,,,
14371,Slc25a25,LOC102640172,Gm5599,,,,,,,,,,,,,,,,,,,,,,,,
14372,Ctrb1,LOC105244731,n-R5s136,,,,,,,,,,,,,,,,,,,,,,,,
14373,4921517D22Rik,4631405K08Rik,Gm30584,,,,,,,,,,,,,,,,,,,,,,,,
14374,Nccrp1,Gm43251,Vmn2r109,,,,,,,,,,,,,,,,,,,,,,,,
14375,Gm9266,Gm43579,LOC105245755,,,,,,,,,,,,,,,,,,,,,,,,
14376,Gm28209,Gm36822,Cd2bp2,,,,,,,,,,,,,,,,,,,,,,,,
14377,Gm15499,Gm7962,Gm6418,,,,,,,,,,,,,,,,,,,,,,,,
14378,Defb39,Gm34181,Mrps36,,,,,,,,,,,,,,,,,,,,,,,,
14379,LOC105244218,Gm42835,Nfkbil1,,,,,,,,,,,,,,,,,,,,,,,,
14380,Zfp324,Man2c1,Mcm3ap,,,,,,,,,,,,,,,,,,,,,,,,
14381,Gm8494,LOC101056233,Rbm6-ps2,,,,,,,,,,,,,,,,,,,,,,,,
14382,Gm10608,Spata24,Gm8613,,,,,,,,,,,,,,,,,,,,,,,,
14383,Hnf1aos1,Gm34664,Gm12247,,,,,,,,,,,,,,,,,,,,,,,,
14384,Mir6975,LOC105243653,LOC105244628,,,,,,,,,,,,,,,,,,,,,,,,
14385,LOC105242770,LOC105244235,Rnase13,,,,,,,,,,,,,,,,,,,,,,,,
14386,Cbs,Gm4529,Gm5322,,,,,,,,,,,,,,,,,,,,,,,,
14387,Rpl27a,Alox15,Gm5469,,,,,,,,,,,,,,,,,,,,,,,,
14388,Gm5941,Zfand2b,Gm8774,,,,,,,,,,,,,,,,,,,,,,,,
14389,Gm9347,LOC105243266,Pdc,,,,,,,,,,,,,,,,,,,,,,,,
14390,Mad2l2,Eif3s6-ps1,Gm14585,,,,,,,,,,,,,,,,,,,,,,,,
14391,Gm31205,Gm43391,Gpha2,,,,,,,,,,,,,,,,,,,,,,,,
14392,Gm34332,Cyp2j11,LOC105246634,,,,,,,,,,,,,,,,,,,,,,,,
14393,Mir301b,LOC105245794,LOC105246962,,,,,,,,,,,,,,,,,,,,,,,,
14394,Gm32566,Gm6985,Gm29679,,,,,,,,,,,,,,,,,,,,,,,,
14395,Gm32630,Hmgb1-rs17,Gm8588,,,,,,,,,,,,,,,,,,,,,,,,
14396,Gm29999,4930542C21Rik,Gm10154,,,,,,,,,,,,,,,,,,,,,,,,
14397,Cmtr1,RP23-292B24.1,Trpc4ap,,,,,,,,,,,,,,,,,,,,,,,,
14398,Epyc,Mapre2,Gm13042,,,,,,,,,,,,,,,,,,,,,,,,
14399,Wee2,LOC105244347,Klhl21,,,,,,,,,,,,,,,,,,,,,,,,
14400,Gm9567,Gm14173,Mlxip,,,,,,,,,,,,,,,,,,,,,,,,
14401,Gm34820,Gm15660,Gm16122,,,,,,,,,,,,,,,,,,,,,,,,
14402,LOC105244287,Zfp54,Gm4097,,,,,,,,,,,,,,,,,,,,,,,,
14403,Rps2-ps10,LOC105242911,Gm10242,,,,,,,,,,,,,,,,,,,,,,,,
14404,St8sia3os,Gm10509,Psmb5-ps,,,,,,,,,,,,,,,,,,,,,,,,
14405,1700056N10Rik,Gm4601,Gm36247,,,,,,,,,,,,,,,,,,,,,,,,
14406,Snord11,Brwd1,Rngtt,,,,,,,,,,,,,,,,,,,,,,,,
14407,Gm30943,Gm31519,1700061F12Rik,,,,,,,,,,,,,,,,,,,,,,,,
14408,Gm17359,LOC105246375,Guca1a,,,,,,,,,,,,,,,,,,,,,,,,
14409,Gm10832,Aurkb,Gm8118,,,,,,,,,,,,,,,,,,,,,,,,
14410,Gm15013,Zfp572,Mettl10,,,,,,,,,,,,,,,,,,,,,,,,
14411,Gm9795,LOC102633643,Pvrl4,,,,,,,,,,,,,,,,,,,,,,,,
14412,Vmn1r214,Gm19412,Gm26578,,,,,,,,,,,,,,,,,,,,,,,,
14413,Tysnd1,Gm3898,2700089I24Rik,,,,,,,,,,,,,,,,,,,,,,,,
14414,Gm7560,LOC105245948,Gm7667,,,,,,,,,,,,,,,,,,,,,,,,
14415,Insl6,Klf6,Myl12b,,,,,,,,,,,,,,,,,,,,,,,,
14416,Dnali1,Gm10556,4930432B10Rik,,,,,,,,,,,,,,,,,,,,,,,,
14417,Gm26593,Gm13565,3110070M22Rik,,,,,,,,,,,,,,,,,,,,,,,,
14418,Gm18371,Gm35309,Snrnp35,,,,,,,,,,,,,,,,,,,,,,,,
14419,Mir5616,Gm43135,Ciart,,,,,,,,,,,,,,,,,,,,,,,,
14420,Gm44172,LOC105243007,Golga1,,,,,,,,,,,,,,,,,,,,,,,,
14421,Gm37933,Cd22,Atg4c,,,,,,,,,,,,,,,,,,,,,,,,
14422,Mir7212,4930533N22Rik,Cep57l1,,,,,,,,,,,,,,,,,,,,,,,,
14423,Gm32377,Ankrd52,Pcna-ps2,,,,,,,,,,,,,,,,,,,,,,,,
14424,Tulp1,Amt,Gm34657,,,,,,,,,,,,,,,,,,,,,,,,
14425,Rassf7,LOC105244375,Gm42450,,,,,,,,,,,,,,,,,,,,,,,,
14426,Gm35030,Gm17822,LOC100534331,,,,,,,,,,,,,,,,,,,,,,,,
14427,Mmp3,Olfr282,LOC105242894,,,,,,,,,,,,,,,,,,,,,,,,
14428,Gm19163,Gm5828,Gm12857,,,,,,,,,,,,,,,,,,,,,,,,
14429,4933427I04Rik,Bpifb2,Zfp936,,,,,,,,,,,,,,,,,,,,,,,,
14430,Asic3,Usp17le,LOC105244742,,,,,,,,,,,,,,,,,,,,,,,,
14431,Gm29374,Gm12341,Hax1,,,,,,,,,,,,,,,,,,,,,,,,
14432,Snhg7os,1010001N08Rik,LOC102633809,,,,,,,,,,,,,,,,,,,,,,,,
14433,Gm7712,Fbxl17,Gm16243,,,,,,,,,,,,,,,,,,,,,,,,
14434,Gm33554,Gm43056,Gm36170,,,,,,,,,,,,,,,,,,,,,,,,
14435,Gm6644,Vmn2r100,Impdh2,,,,,,,,,,,,,,,,,,,,,,,,
14436,Gm10184,Gm34075,Gm3386,,,,,,,,,,,,,,,,,,,,,,,,
14437,Gm30691,4930528D03Rik,Gm35507,,,,,,,,,,,,,,,,,,,,,,,,
14438,Snora64,Gm6946,LOC102633187,,,,,,,,,,,,,,,,,,,,,,,,
14439,Gm7442,Cfap57,Gm2324,,,,,,,,,,,,,,,,,,,,,,,,
14440,Zfr,Gm17124,Gm15066,,,,,,,,,,,,,,,,,,,,,,,,
14441,Btnl10,Gm17043,Gm17352,,,,,,,,,,,,,,,,,,,,,,,,
14442,Gm1553,Gm35509,Calcoco2,,,,,,,,,,,,,,,,,,,,,,,,
14443,Plagl1,Gm34816,Rbm6-ps1,,,,,,,,,,,,,,,,,,,,,,,,
14444,Gk2,Gm9354,Gm8587,,,,,,,,,,,,,,,,,,,,,,,,
14445,LOC105246193,Rplp0-ps1,Gm11008,,,,,,,,,,,,,,,,,,,,,,,,
14446,Gm43936,Gm15271,Gm2965,,,,,,,,,,,,,,,,,,,,,,,,
14447,LOC105242418,LOC102631679,Gm15884,,,,,,,,,,,,,,,,,,,,,,,,
14448,Ppil4,Gm6066,Ssna1,,,,,,,,,,,,,,,,,,,,,,,,
14449,Gm29506,Gm29361,LOC101056233,,,,,,,,,,,,,,,,,,,,,,,,
14450,Gm3141,Gm26754,Kif23,,,,,,,,,,,,,,,,,,,,,,,,
14451,Hspe1-ps2,Snord88c,Gm14718,,,,,,,,,,,,,,,,,,,,,,,,
14452,Gm11658,Gm11793,Gm12823,,,,,,,,,,,,,,,,,,,,,,,,
14453,LOC105245493,RP23-259N3.1,Eno1,,,,,,,,,,,,,,,,,,,,,,,,
14454,Skint5,4930455F16Rik,Gm19255,,,,,,,,,,,,,,,,,,,,,,,,
14455,Gm7336,Gm28182,Polr2k,,,,,,,,,,,,,,,,,,,,,,,,
14456,Gm6860,BC026585,E030044B06Rik,,,,,,,,,,,,,,,,,,,,,,,,
14457,LOC102641070,Gabbr1,Gm18628,,,,,,,,,,,,,,,,,,,,,,,,
14458,Gm28516,LOC105242668,LOC105243967,,,,,,,,,,,,,,,,,,,,,,,,
14459,Csrp3,Gm10445,9330154K18Rik,,,,,,,,,,,,,,,,,,,,,,,,
14460,Vmn2r28,Gm8209,Vmn2r49,,,,,,,,,,,,,,,,,,,,,,,,
14461,Gm15209,Gm44205,Rpl7a-ps11,,,,,,,,,,,,,,,,,,,,,,,,
14462,Gm43777,LOC105244326,2310065F04Rik,,,,,,,,,,,,,,,,,,,,,,,,
14463,LOC105242812,Fanci,Gm9333,,,,,,,,,,,,,,,,,,,,,,,,
14464,Gm4355,Gm17791,Gm5317,,,,,,,,,,,,,,,,,,,,,,,,
14465,AI463170,Gm6425,Gm6659,,,,,,,,,,,,,,,,,,,,,,,,
14466,4930467K11Rik,Gm33643,Gm7192,,,,,,,,,,,,,,,,,,,,,,,,
14467,Gm35183,Gm19931,Rnu3b-ps1,,,,,,,,,,,,,,,,,,,,,,,,
14468,Vwa9,Spag11b,Rad17,,,,,,,,,,,,,,,,,,,,,,,,
14469,Rpl31-ps5,Ptpn7,Gm28048,,,,,,,,,,,,,,,,,,,,,,,,
14470,Cadm3,Gm5425,Gm18432,,,,,,,,,,,,,,,,,,,,,,,,
14471,Gm9127,RP23-340E19.1,LOC105243414,,,,,,,,,,,,,,,,,,,,,,,,
14472,Gm6116,Gm32478,Gm7866,,,,,,,,,,,,,,,,,,,,,,,,
14473,Chmp4b,4930572J10Rik,Gm29087,,,,,,,,,,,,,,,,,,,,,,,,
14474,Gm5184,Musk,Gm16373,,,,,,,,,,,,,,,,,,,,,,,,
14475,LOC105246567,Gm10358,LOC105244673,,,,,,,,,,,,,,,,,,,,,,,,
14476,Gm26892,LOC105246998,Gm18163,,,,,,,,,,,,,,,,,,,,,,,,
14477,D130079A08Rik,Gm12263,Cdcp2,,,,,,,,,,,,,,,,,,,,,,,,
14478,Gm9276,Gm12582,F2rl1,,,,,,,,,,,,,,,,,,,,,,,,
14479,LOC105246885,Gm43673,Gm12460,,,,,,,,,,,,,,,,,,,,,,,,
14480,LOC105246457,LOC102633050,Gm19640,,,,,,,,,,,,,,,,,,,,,,,,
14481,Gm7774,Zfc3h1,Gm9506,,,,,,,,,,,,,,,,,,,,,,,,
14482,Rhox4b,Gm29795,Gm18011,,,,,,,,,,,,,,,,,,,,,,,,
14483,Duox2,Gm42532,Gm6221,,,,,,,,,,,,,,,,,,,,,,,,
14484,Gm7258,Glra3,Gm16514,,,,,,,,,,,,,,,,,,,,,,,,
14485,Gm36089,Gm18183,Gm13930,,,,,,,,,,,,,,,,,,,,,,,,
14486,LOC100534357,Gm15531,Gm5359,,,,,,,,,,,,,,,,,,,,,,,,
14487,Gm4587,Commd2,Gm7392,,,,,,,,,,,,,,,,,,,,,,,,
14488,Gm36451,Mir6350,Uso1,,,,,,,,,,,,,,,,,,,,,,,,
14489,4931403M11Rik,Mir1946a,Mir9-1,,,,,,,,,,,,,,,,,,,,,,,,
14490,Chrm2,LOC105245201,Gm13383,,,,,,,,,,,,,,,,,,,,,,,,
14491,Gm35738,1700030O20Rik,Pafah1b1-ps1,,,,,,,,,,,,,,,,,,,,,,,,
14492,Gm34861,Mup21,Ctns,,,,,,,,,,,,,,,,,,,,,,,,
14493,Gm37350,Gm36485,Gm15544,,,,,,,,,,,,,,,,,,,,,,,,
14494,Olfr220,RP23-184K1.2,Gm18939,,,,,,,,,,,,,,,,,,,,,,,,
14495,Gm5103,LOC105245857,Atxn2,,,,,,,,,,,,,,,,,,,,,,,,
14496,Anp32a,Art4,Gm31651,,,,,,,,,,,,,,,,,,,,,,,,
14497,LOC105246292,Gm8220,Cfap57,,,,,,,,,,,,,,,,,,,,,,,,
14498,Fxyd4,Gm6970,Ankrd9,,,,,,,,,,,,,,,,,,,,,,,,
14499,Cfap57,1700095B10Rik,Gm7075,,,,,,,,,,,,,,,,,,,,,,,,
14500,LOC105245159,Gm12755,LOC105247050,,,,,,,,,,,,,,,,,,,,,,,,
14501,LOC105247138,Gm19077,Dhx34,,,,,,,,,,,,,,,,,,,,,,,,
14502,4930471M09Rik,Tspo2,Ythdf2,,,,,,,,,,,,,,,,,,,,,,,,
14503,5330439B14Rik,Sash3,LOC102639170,,,,,,,,,,,,,,,,,,,,,,,,
14504,Tcp10a,Gm43332,Gm7887,,,,,,,,,,,,,,,,,,,,,,,,
14505,Atp5l2-ps,Uggt1,Gm2622,,,,,,,,,,,,,,,,,,,,,,,,
14506,Rab25,Dsg4,Gm8575,,,,,,,,,,,,,,,,,,,,,,,,
14507,Gm15208,Gm5830,Fam47e,,,,,,,,,,,,,,,,,,,,,,,,
14508,Gm10747,Aqp12,9130221H12Rik,,,,,,,,,,,,,,,,,,,,,,,,
14509,Rpl21-ps4,Gm20605,Gm17019,,,,,,,,,,,,,,,,,,,,,,,,
14510,Vmn2r26,Gm6050,4930432O09Rik,,,,,,,,,,,,,,,,,,,,,,,,
14511,Gm14648,Gm12017,Arf4os,,,,,,,,,,,,,,,,,,,,,,,,
14512,1700031P21Rik,LOC105245991,LOC105245868,,,,,,,,,,,,,,,,,,,,,,,,
14513,Gm32722,Gm19519,Gm7553,,,,,,,,,,,,,,,,,,,,,,,,
14514,Gm5213,Gm18370,Vps28,,,,,,,,,,,,,,,,,,,,,,,,
14515,B3gat1,Olfr1165-ps,Vmn2r116,,,,,,,,,,,,,,,,,,,,,,,,
14516,LOC105246844,Gm5254,Mcts2,,,,,,,,,,,,,,,,,,,,,,,,
14517,Gm34204,Gm15884,Gm30280,,,,,,,,,,,,,,,,,,,,,,,,
14518,Gm12220,Gm8067,Gm2961,,,,,,,,,,,,,,,,,,,,,,,,
14519,C030010L15Rik,Bloc1s2,A730063M14Rik,,,,,,,,,,,,,,,,,,,,,,,,
14520,E030010N08Rik,Gm33994,Mdga1,,,,,,,,,,,,,,,,,,,,,,,,
14521,LOC105245263,A830080D01Rik,Gm42738,,,,,,,,,,,,,,,,,,,,,,,,
14522,Ap2a1,Gm7613,Bcorl1,,,,,,,,,,,,,,,,,,,,,,,,
14523,Rpsa-ps1,Gm14808,Gm18740,,,,,,,,,,,,,,,,,,,,,,,,
14524,Tubb2a-ps2,Gm19260,C4bp,,,,,,,,,,,,,,,,,,,,,,,,
14525,4833423E24Rik,Gm16217,Mir15a,,,,,,,,,,,,,,,,,,,,,,,,
14526,Trmt2a,Gm44191,Olfr220,,,,,,,,,,,,,,,,,,,,,,,,
14527,LOC102635200,Gm15107,Gm7513,,,,,,,,,,,,,,,,,,,,,,,,
14528,LOC105243457,Gm43616,Gm8725,,,,,,,,,,,,,,,,,,,,,,,,
14529,Gm7748,LOC105247126,Gm29767,,,,,,,,,,,,,,,,,,,,,,,,
14530,Gm35973,Dnase1l2,Gm7318,,,,,,,,,,,,,,,,,,,,,,,,
14531,Mir382,Gm30154,Gm17887,,,,,,,,,,,,,,,,,,,,,,,,
14532,Klrb1a,H2-Q1,Gm3744,,,,,,,,,,,,,,,,,,,,,,,,
14533,Gm31878,LOC105246871,Trdn,,,,,,,,,,,,,,,,,,,,,,,,
14534,Gje1,Gm29819,Mael,,,,,,,,,,,,,,,,,,,,,,,,
14535,Cyp2j11,Odam,Gm9457,,,,,,,,,,,,,,,,,,,,,,,,
14536,Gm21671,Cyp3a41a,Gm13112,,,,,,,,,,,,,,,,,,,,,,,,
14537,Mir124a-3,Gm14026,LOC102636741,,,,,,,,,,,,,,,,,,,,,,,,
14538,Gm6356,Psmb6-ps,Gm21378,,,,,,,,,,,,,,,,,,,,,,,,
14539,Lime1,Gm5597,Gm4954,,,,,,,,,,,,,,,,,,,,,,,,
14540,C78339,Gm14248,Gm9509,,,,,,,,,,,,,,,,,,,,,,,,
14541,Gm36443,Tln1,Rpl6,,,,,,,,,,,,,,,,,,,,,,,,
14542,Gm21145,Gm37350,Ctcf,,,,,,,,,,,,,,,,,,,,,,,,
14543,Gm28453,Gm29090,Gm5284,,,,,,,,,,,,,,,,,,,,,,,,
14544,Syt8,Btnl9,LOC105245214,,,,,,,,,,,,,,,,,,,,,,,,
14545,Gm1833,Pros1,Gm11255,,,,,,,,,,,,,,,,,,,,,,,,
14546,Olfr140,Gm7253,Gm1123,,,,,,,,,,,,,,,,,,,,,,,,
14547,Kctd17,LOC105246350,Gm9774,,,,,,,,,,,,,,,,,,,,,,,,
14548,4930592I03Rik,Gm15807,Gm7229,,,,,,,,,,,,,,,,,,,,,,,,
14549,LOC105244481,LOC105242433,Mbd1,,,,,,,,,,,,,,,,,,,,,,,,
14550,Gm33008,Snord57,Rpl5-ps2,,,,,,,,,,,,,,,,,,,,,,,,
14551,Snapin,Gm35699,Gm19260,,,,,,,,,,,,,,,,,,,,,,,,
14552,Dync1i2,1700073E17Rik,LOC105243697,,,,,,,,,,,,,,,,,,,,,,,,
14553,LOC102635410,LOC105243393,Trappc13,,,,,,,,,,,,,,,,,,,,,,,,
14554,Gm5697,Tha1,2410141K09Rik,,,,,,,,,,,,,,,,,,,,,,,,
14555,Gm12969,Ggps1,Tssk6,,,,,,,,,,,,,,,,,,,,,,,,
14556,4933427J07Rik,Gm31999,Gm10466,,,,,,,,,,,,,,,,,,,,,,,,
